OBJECTID,Location,Latitude,Longitude
1,Nagalagam Street River,6.959255,79.877339
2,Nagalagam Street,6.956944,79.878019
3,Wellawatta Canal-St Peters College,6.88055,79.862197
4,Dematagoda Canal-Orugodawatta,6.943486,79.878936
5,Dehiwala,6.863283,79.863637
6,Parliament Lake Bridge-Kotte Canal,6.900527,79.902333
7,Parliament Lake-Out,6.89151,79.915921
8,Madiwela-US,7.042987,79.926959
9,Ambatale River,6.939038,79.947506
10,Ambatale Outfull1,6.937522,79.946542
11,Salalihini-River,6.948027,79.918081
12,Salalihini-Canal,6.945771,79.920347
13,Kittampahuwa River,79.890922,6.954759
14,Kalupalama,6.953681,79.889947
15,Yakbedda,6.923706,79.8912
16,Heen Ela,6.895973,79.884245
17,Torrinton,6.899517,79.877325
18,Parliament Lake,6.891514,79.918183
19,Kotte North Canal,6.906394,79.903417
20,OUSL-Nawala Kirulapana Canal,6.8837,79.886719
21,Dehiwala Canal,6.863189,79.863511
22,Near SLLRDC,6.909756,79.889011
23,Kirimandala Mw,6.894556,79.884022
24,OUSL-Narahenpita Rd,6.888825,79.880758
25,Swarna Rd-Wellawatta,6.8832,79.871186
26,Mutwal Outfall,6.962042,79.857803
27,Thummodara,6.885058,79.871089
28,JanakalaKendraya,6.891978,79.921728
29,Kotiyagoda,6.910222,79.904244
30,LesliRanagala Mw,6.917594,79.884142
31,Babapulle,6.942022,79.87205
32,Ingurukade Jn,6.951008,79.874692
33,Amaragoda,6.888667,79.957617
34,Malabe,6.905931,79.963314
35,Madinnagoda,6.916028,79.899347
36,Kittampahuwa,6.94525,79.885961
37,Weliwala Pond,6.927892,79.916706
38,Old Awissawella Rd,6.943167,79.924489
39,Kelani Mulla Outfall,6.946772,79.919422
40,Wellampitiya,6.937181,79.897239
41,Talatel Culvert,6.932592,79.926642
42,Wennawatta,6.935969,79.928161
43,Vivekarama Mw,6.940581,79.897158
44,Koratuwa Rd,6.930964,79.912597
45,Harwad Band,6.929219,79.902333
46,Baira Lake Nawam Mw,6.920764,79.861106
47,Baira Lake Railway,6.933933,79.847953
48,Kibulawala 1,6.866731,79.931631
49,Kibulawala 2,6.866822,79.930897
50,Parlimant Lake Side,6.877225,79.927767
51,Polduwa-Parlimant Rd,6.903508,79.909022
52,Abagaha Jn,6.912894,79.908586
53,Aggona,6.915892,79.926767
54,Rampalawatta,6.884153,79.9328